Requirement#,Frequency
R1,49
R2,0
R3,0
R4,2
R5,0
R6,0
R7,0
R8,129
R9,0
R10,0
R11,2
R12,0
R13,7
R14,0
R15,0
R16,1
R17,12
R18,0
R19,5
R20,0
R21,2
R22,0
R23,0
R24,0
R25,0
R26,29
R27,4
R28,1
R29,0
R30,209
R31,1
R32,1
R33,0
R34,0
R35,7
R36,119
R37,0
R38,0
R39,15
R40,2
R41,17
R42,2
R43,11
R44,204
R45,73
R46,1
R47,2
R48,7
R49,9
R50,2
R51,0
R52,2
R53,70
R54,0
R55,2
R56,4
R57,0
R58,0
R59,3
R60,135
R61,2
R62,1
R63,9
R64,4
R65,0
R66,0
R67,0
R68,0
R69,0
R70,0
R71,0